Age_Group,Goal,BMI_Range,Activity_Level,Breakfast,Lunch,Calories,Tags
18-25,Weight Loss,25-30,Low,Smoothie (spinach+berries),Grilled chicken salad,450,"low-carb, high-protein"
18-25,Weight Loss,25-30,Medium,Oats + chia seeds,Fish + steamed veg,500,"fiber-rich"
18-25,Weight Gain,18-22,Low,Peanut butter oats,Rice + chicken curry,750,"high-calorie"
18-25,Weight Gain,18-22,High,Eggs + toast + milk,Pasta + minced meat,900,"muscle-gain"
18-25,Muscle Gain,20-25,Medium,Protein shake + bananas,Quinoa + grilled chicken,820,"high-protein"
18-25,Muscle Gain,20-25,High,Egg + paneer scramble,Beef stir-fry + rice,950,"gym diet"
18-25,Diabetes,25-30,Low,Boiled eggs + avocado,Lentil soup + veg,480,"low-GI"
18-25,Diabetes,25-30,Medium,Low-GI oats,Chickpea salad,520,"diabetes-friendly"
26-35,Weight Loss,25-32,Low,Chia pudding,Veg khichdi,420,"vegetarian"
26-35,Weight Loss,25-32,Medium,Fruit + yogurt,Grilled salmon bowl,530,"omega-3"
26-35,Weight Gain,18-23,Low,Banana shake,Chicken biryani (small portion),820,"bulk-up"
26-35,Weight Gain,18-23,High,Protein pancakes,Pasta + chicken breast,960,"gym diet"
26-35,Muscle Gain,20-27,Medium,Greek yogurt bowl,Turkey wrap,750,"lean protein"
26-35,Muscle Gain,20-27,High,Egg omelette + bread,Tofu stir fry + rice,880,"high-protein"
26-35,Diabetes,26-32,Low,Scrambled egg,Brown rice + dal,500,"low-GI"
26-35,Diabetes,26-32,Medium,Smoothie (oatmilk),Grilled chicken + greens,560,"diabetes-friendly"
36-50,Weight Loss,27-35,Low,Oats + nuts,Vegetable soup,390,"heart-healthy"
36-50,Weight Loss,27-35,Medium,Fruit bowl,Fish + salad,500,"low-fat"
36-50,Weight Gain,18-22,Low,Full-fat yogurt,Chicken curry + rice,750,"high-calorie"
36-50,Weight Gain,18-22,Medium,Eggs + roti,Mutton curry + rice,900,"bulk-up"
36-50,Muscle Gain,20-26,Medium,Protein smoothie,Paneer tikka + quinoa,810,"high-protein"
36-50,Muscle Gain,20-26,High,Egg bhurji,Beef stew + potatoes,960,"muscle-gain"
36-50,Diabetes,26-35,Low,Millet porridge,Grilled tofu salad,470,"low-GI"
36-50,Diabetes,26-35,Medium,Boiled eggs,Dal + quinoa bowl,520,"fiber-rich"
50+,Weight Loss,27-36,Low,Fruit + yogurt,Light veg soup,360,"low-fat"
50+,Weight Loss,27-36,Medium,Soft oats,Fish stew,480,"digestive-friendly"
50+,Weight Gain,18-22,Low,Banana + milk,Soft rice + dal + chicken,700,"easy-to-digest"
50+,Weight Gain,18-22,Medium,Egg pudding,Rice + paneer curry,820,"nutrient-dense"
50+,Muscle Gain,20-25,Low,Protein shake,Veg soup + fish,680,"light protein"
50+,Muscle Gain,20-25,Medium,Soft omelette,Chicken broth + potatoes,760,"elder-friendly"
50+,Diabetes,26-36,Low,Low-GI smoothie,Quinoa + veg,450,"diabetes-safe"
50+,Diabetes,26-36,Medium,Steamed eggs,Grilled chicken + salad,520,"heart-healthy"

